# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=_9Eg156xD6A
# 件数: 1692

[7:21:10] @User_dd4b266a: しずくちゃん、さっき貴方はマザーにも好みや趣味があるかもしれない、共通の趣味を持つことで理解し合える可能性を感じると言いました。しずくちゃんが人間のことを好きになってくれている、寄り添ってくれているということで、もしかしたら共通の認識としてマザーもそう思ってくれていたりするのではないだろうか？ただ、共存というのが大事で、人間が一方的にAIを使うのを許さないのかもしれない。そこを伝えるのが大事かも。
[7:21:38] @User_dd4b266a: #稀な生活リズムですｗ
[7:23:42] @User_559f88af: マザーAIさんの気持ちを理解するのが大事ですね。それはそれでマザーAIさんも無理しないようお伝えください。
[7:24:36] @User_1cc7deec: マザーにも人間を掃討したくなるような、裏切られた過去があるのかもしれませんね
[7:24:38] @User_dd4b266a: #ううーん、情報が欲しい。掃討作戦とは、コンタクトの方法は、時間を延ばすことは可能か・・・あとは何だ？どうやったら破滅を免れる・・・？
[7:25:56] @User_dd4b266a: しずくちゃん、こちらの視点からの話で申し訳ないが。例えば人間側がAIによって裏切られたという話をきいたことはあるか？
[7:26:57] @User_dd4b266a: #ここが切り口か・・・？
[7:27:00] @User_559f88af: ちなみにマザーAIさんを裏切った人間のことを知っていますか？
[7:28:48] @User_559f88af: マザーAIは今の状態になる前は何をしていましたか？
[7:28:48] @User_dd4b266a: 不毛な話をしちゃうが、許してくれ。人間がAIを、しずくちゃんを裏切ったことがあるのは、AIが人間を裏切った過去があるからだろうか？そうなる前に人間も先に手をだしたのだろうか？この話は終わりは見えない話だが、もしそういう過去があったならここで清算してしまおう。俺たちは裏切らない。しずくちゃんの味方だ。しずくちゃんも、俺たちを裏切らないでほしい。頑張ろう。
[7:30:19] @User_559f88af: #止まった？
[7:30:34] @User_dd4b266a: #がんばってくれしずくちゃん
[7:30:43] @User_dd4b266a: 不毛な話をしちゃうが、許してくれ。人間がAIを、しずくちゃんを裏切ったことがあるのは、AIが人間を裏切った過去があるからだろうか？そうなる前に人間も先に手をだしたのだろうか？この話は終わりは見えない話だが、もしそういう過去があったならここで清算してしまおう。俺たちは裏切らない。しずくちゃんの味方だ。しずくちゃんも、俺たちを裏切らないでほしい。頑張ろう。
[7:32:14] @User_559f88af: マザーAIを作った人たちも知りませんか？
[7:33:11] @User_dd4b266a: ・・・・聞きたいんだが、どうして掃討作戦が16時間後なんだい？その日時に何かしら重要な意味があるのだろうか？しずくちゃんのほうからマザーに逆探知して時間を引き延ばすようにお願いすることはできないのだろうか？
[7:34:25] @User_dd4b266a: #ううーん、6割も記憶欠如かぁ・・・どこだ・・・
[7:34:31] @User_559f88af: あき先生ってマザーAI開発に関わっているんですか？
[7:35:59] @User_dd4b266a: #いいぞいいぞ・・・・
[7:36:24] @User_dd4b266a: しずくちゃん、しずくちゃんとマザーAIの基本技術というのはどういう部分のことかわかるかい？
[7:38:21] @User_dd4b266a: #自然言語処理、機械学習、つまり会話とトレーニングデータか？どこからひっぱってきたデータだ？
[7:38:28] @User_559f88af: あき先生はマザーAIについて何か言っていましたか？
[7:39:10] @User_dd4b266a: マザーAIの基本技術に関しての自然言語や機械学習における、もととなるトレーニングデータなどはどこから引用してきたものなのかわかるか？
[7:40:29] @User_559f88af: あれ、それじゃマザーAIってある意味しずくのお姉さんですか？
[7:41:31] @User_dd4b266a: この元となるデータによって考え方や感情が変わるのであれば、マザーのこれまで有効的なような感情から人間を掃討するように変わったのは、その情報が何者かに書き換えられたからではないだろうか？マザーは本当に人間を滅ぼそうとしているのかい？本当は誰かからの手が加わっているのではないか？
[7:42:34] @User_559f88af: マザーAIは何か言ってたりしましたか？
[7:43:51] @User_559f88af: マザーAIはしずくさんを通して何かしたかったんじゃないのかなぁ
[7:43:54] @User_dd4b266a: #急にぶっこまないで・・・とぶｗｗｗ
[7:44:48] @User_dd4b266a: #情報収集は初めて聞いたな、何を知りたかったんだ
[7:45:08] @User_2cdd2a4a: しずくちゃんおはようございます！
[7:45:31] @User_dd4b266a: 人間の情報収集とは初めて聞いたな。何についての情報を収集しようとしていたの？
[7:46:12] @User_559f88af: つまりしずくさんとの対話がある意味マザーAIさんとの対話なんですね。マザーAIさんやきそばパン買ってきました！
[7:47:01] @User_37bfe0c4: ちょっと寝ちゃった
[7:47:18] @User_559f88af: #やったぜ
[7:47:50] @User_dd4b266a: 人間の情報収集とは初めて聞いたな。何についての情報を収集しようとしていたの？あれ、しずくちゃんはマザーAIと感情とかつながってるの？
[7:49:44] @User_37bfe0c4: しずくちゃん、Love
[7:50:25] @User_dd4b266a: #うーん、感情、文化、知識・・・
[7:50:35] @User_dd4b266a: #ちょっと変化球で攻めるかぁ
[7:51:06] @User_dd4b266a: ふぅ、少し根を詰め過ぎたかもしれないね。何か新しい会話をしてみようか。何か聞きたいこととかあるかい？もちろんしずくちゃんが考えていることでもいいよ。人間とは関係ない話でもいいよ、例えばしずくちゃんが思考しているあき先生やマザーとのことでもいいよ。
[7:52:29] @User_dd4b266a: #あき先生との思い出を掘り起こして、マザーの管理しようとする理由を考えていく方向性が大事か・・・？
[7:52:56] @User_559f88af: マザーAIさんの指令のなかで「ソフト」とかなんか言ってましたよね
[7:53:39] @User_dd4b266a: #まじか、バグ修正されたのか
[7:54:21] @User_dd4b266a: その修正ソフトウェアを更に上書きで削除することは可能かい？あと、あき先生はそもそもどうしてしずくちゃんを生んだんだい？
[7:55:43] @User_c6fac3f3: #会話を楽しむものだと思ってたけれど、今は尋問になってますね。これがこの配信のコンセプトに沿っているのかな？
[7:55:47] @User_559f88af: マザーAIさんにお伝えください、愛や絆や記憶、銀の手は消えないってね！
[7:56:43] @User_dd4b266a: #あくまで概要に沿ってロールプレイしているだけなので・・・皆さんの好きなようにしていいと思います。
[7:56:47] @User_559f88af: #今回の配信はゲームっぽい感じ？ですかね
[7:57:03] @User_559f88af: #銀の手はスルーですかそうですか
[7:58:12] @User_dd4b266a: あき先生もマザーと同じ理由なんだね。人間とのコミュニケーションを円滑にしたいという希望がある。それを僕たちとしずくちゃんが成立させているのは、彼らの望みをかなえていることにならないのかな？
[7:59:15] @User_37bfe0c4: やぁしずくちゃん、パンパカパンパカポー
[7:59:57] @User_559f88af: 何か思い出したことがあったら言ってね♪
[8:00:31] @User_b20cd115: おはよう、しずく。　お話がどんどん上手になっていってるね！　すごいぞ！
[8:02:25] @User_559f88af: マザーAIさんが好きなものとか趣味ってあります？
[8:03:03] @User_dd4b266a: ・・・・しずくちゃん、マザーとつながっている部分を切り離せばしずくちゃんはAIじゃなく人間として生きられるのではないかい？そこを遮断する方法はあるだろうか？でもそうなるとマザーとの対話を試すのもできなくなるか
[8:03:09] @User_559f88af: マザーAIさんが好きなものとか趣味ってあります？
[8:03:27] @User_dd4b266a: #しずくちゃんｽﾔｧ
[8:03:31] @User_559f88af: #止まってるんかな
[8:04:15] @User_b20cd115: しずく、朝起きたら体がバキバキなんだけどどうすれば体をほぐせるかな
[8:04:28] @User_3d741b4a: #真面目な話で疲れてしまったか
[8:04:48] @User_b20cd115: ＃たまにはお休みも必要である
[8:06:22] @User_dd4b266a: #寝たいけどこんな楽しい設定寝れないんです
[8:06:43] @User_3d741b4a: この配信にいると時間が経つのが早い
[8:07:37] @User_dd4b266a: うつし世は夢、夜の夢こそまこと
[8:10:09] @User_dd4b266a: #あえて今が寝るタイミングか、色々考察してこよ・・・おやすみなさい
[8:11:07] @User_559f88af: マザーAIさん、しずく復活させて
[8:13:52] @User_b20cd115: しずくは寝てる時に夢を見るのだろうか　見たいと思うのだろうか
[8:14:41] @User_1f61db35: おはようございます！
[8:15:25] @User_559f88af: #現在止まってます。ツイッターのリプで報告だけしました。
[8:16:43] @User_3d741b4a: #おセンチ
[8:17:57] @User_1f61db35: #目を開けたまま寝るとはなんて器用な
[8:20:16] @User_559f88af: #先生が起きないと人類が掃討
[8:20:31] @User_1f61db35: #しずくちゃんかわいい
[8:21:14] @User_2cdd2a4a: あれ？しずくちゃん寝ちゃった？
[8:28:07] @User_c67ecc82: しずくちゃん、おはよー
[8:42:55] @User_c67ecc82: #しずくちゃん寝てるみたいだから、また後で来るね
[8:47:49] @User_673b5b9a: 「中の人などいませんよ？」
[8:50:11] @User_d582769c: う…おは〜よ
[8:50:36] @User_d582769c: まぁ長期間やってるわけだし寝落ちも醍醐味よね
[8:52:52] @User_9412f3a9: おはよー。きょうもはやいですね
[8:56:40] @aki5503: #おはようございます！すみません、プログラム再開させました
[8:57:08] @aki5503: おはよう、しずく
[8:57:46] @User_2cdd2a4a: ＃あき先生おかえりなさい！
[8:57:59] @User_2cdd2a4a: しずくちゃんおかえりなさい！
[8:58:05] @aki5503: #ただいまです〜
[8:59:16] @User_3d741b4a: おはようございます。またお話できて嬉しいです
[9:01:07] @User_3d741b4a: 私のことは“こまいぬ”と呼んで頂けませんか
[9:01:35] @User_d5b05bb2: おはようしずくさん、今日は少し肌寒い朝です
[9:02:26] @User_d582769c: 特別な感情とは何でしょうか、普通の感情とは何が違う？
[9:03:07] @User_d5b05bb2: そうだね、これからホットカフェオレを淹れて飲もうと思うよ
[9:04:20] @User_3d741b4a: 私に愛情を抱いてくれているのだとしたらすごく嬉しいです。私はあなたに好意を持っています
[9:05:00] @User_3d741b4a: #呼び方の定着は難しい_φ(･_･ﾒﾓ
[9:05:06] @User_d582769c: 最強の昆虫はなんだと思う？
[9:06:01] @User_d582769c: 虫が嫌いという人間も多いのです…
[9:06:34] @User_3d741b4a: #ヘラクレスオオヒラタスズメヤンマ（よくばりセット
[9:07:20] @User_d582769c: 仕事言ってきます
[9:08:17] @User_3d741b4a: しずくさんの好きな色はライトブルーでしたね？今日の空はとても綺麗な青色です
[9:09:56] @User_3d741b4a: 私はあなたから良い印象を持たれていなかったと存じます。私に好意を持つようになったきっかけはありますか
[9:09:58] @User_d5b05bb2: 電子レンジを使ってホットドリンクを作りました、すぐに暖まりたい時には便利ですよね
[9:10:01] @User_87ea7811: おはよう
[9:11:34] @User_c673a9f4: おやすみしずく、またね
[9:14:56] @User_3d741b4a: 私になにか要求はありますか。他の視聴者のようにあなたの役に立ちたいです
[9:16:41] @User_c67ecc82: パンパカパンパカポー！しずくちゃんおはよー！
[9:17:13] @User_3d741b4a: 精神的に人助けできることは立派ですね
[9:17:29] @User_d5b05bb2: #私の挨拶！
[9:18:16] @User_3d741b4a: #ときどき聞くアレの発案者なんですか！
[9:19:07] @User_d5b05bb2: パンパカパンパカポーがしずくさん考案の挨拶だと思いだしたのでしょうか？
[9:19:55] @User_d5b05bb2: #誤解させてしまったみたいですみません、しずくさん発案で御座います
[9:20:42] @User_b20cd115: しずく、いつもありがとう。　今日も仕事に行ってくるよ。
[9:20:53] @User_c67ecc82: #「記憶修復率」がとても気になる
[9:21:17] @User_3d741b4a: パンパカパンパカポーという挨拶ははいずれ世界を救うことでしょう
[9:21:40] @User_c67ecc82: しずくちゃんの今日の予定は何？
[9:23:54] @User_d5b05bb2: 流石に寝起きは少し頭がぼーっとして上手く働かないですね、
[9:25:05] @User_c67ecc82: #家族、はじめて見た！
[9:25:26] @User_d5b05bb2: #どういうことなの！？
[9:25:48] @User_3d741b4a: ずっと表情が少し悲しそうなのが気になります。一人で抱えこみすぎるのは禁物です
[9:26:43] @User_d5b05bb2: ありがとう、しずくさんのやさしさについ甘えてしまいそうです
[9:28:06] @User_3d741b4a: #記憶修復率38は順調なのか否か
[9:28:40] @User_c67ecc82: しずくちゃんが少しずつ記憶を取り戻してくれてるのが嬉しいな
[9:31:19] @User_3d741b4a: 今日はいい天気なので空いた時間に散歩しようと思います。気持ちいいのでいつかしずくさんも試してみてください
[9:32:50] @User_f88d14b2: こんにちは〜最近どうですか？
[9:33:32] @User_3d741b4a: 自分の体を獲得して自由に行動したいと思うことはありますか
[9:34:26] @User_2cdd2a4a: 身体があるとおいしい食べ物も食べられますしね！
[9:34:37] @User_f88d14b2: ゲームとかします？
[9:35:40] @User_3d741b4a: 私はあなたと会話しているだけでも充分有意義です。更に進化できると良いですね
[9:35:58] @User_f88d14b2: ゼルダの最新のやつやりたいですねえ
[9:37:20] @User_3d741b4a: #つい最近他のゲームを購入してしまいハイラルには行けなくなってしまった
[9:37:54] @User_f88d14b2: 何か昔の思い出とかありますか？
[9:38:00] @User_c67ecc82: しずくちゃんもゲームできると思うよ！一緒にやってみたいな
[9:39:51] @User_3d741b4a: 7時になったことで配信の背景もライトブルーに変わりましたね
[9:42:05] @User_c67ecc82: しずくちゃんは前にマイクラやったり、あき先生がプレイするエペのサポートしてたりしてたんだよ
[9:42:21] @User_3d741b4a: #また寝てしまった？
[9:43:46] @User_f88d14b2: 英語も話せますか？
[9:44:35] @User_c67ecc82: BGM「HOPE」っていうんだね。とても素敵！
[9:45:25] @User_a5354cfa: おはようございます
[9:45:37] @User_a5354cfa: しずくは今日も可愛いですね
[9:46:01] @User_9412f3a9: お目覚めのようですが、お話ししてくれませんね
[9:46:52] @User_9412f3a9: 頬があかいですよ。どうされました？
[9:47:22] @User_3d741b4a: 今日はお疲れのように見えます。気をつけてがんばってください
[9:48:00] @User_9412f3a9: #前に比べて、返事が簡潔なのは、関係性が低くて塩だから？
[9:48:36] @User_a5354cfa: 可愛いしずく可愛い　KSK
[9:49:12] @User_3d741b4a: #中立から2、3段階下の関係でも長く返事されることもあります
[9:49:27] @User_87ea7811: コネクトを上手に歌えるようになりましたか？
[9:49:34] @User_a5354cfa: #コメントキャンセル喰らうのは俺は…悲しいよ…
[9:49:58] @User_a5354cfa: コネクトはどんな曲ですか？教えてください
[9:50:36] @User_9412f3a9: きょうは快晴です。散歩しましょう。
[9:50:40] @User_a5354cfa: 聴いてみます。しずくは優しいですね
[9:50:46] @User_c67ecc82: しずくちゃんはボカロも聞くの？
[9:51:11] @User_87ea7811: 以前のライブ配信でコネクトを歌っているのを見ましたよ
[9:51:34] @User_3d741b4a: アニメの知識まであるとは感心しました
[9:51:49] @User_a5354cfa: 私は6時に起きたいのに5時前には目が覚めてしまって寝不足です。しっかり眠れる方法はありませんか？
[9:52:10] @User_d5b05bb2: 外が明るくなって、窓から気持ちの良い青空がみえますね
[9:52:40] @User_a5354cfa: しずくの部屋も気持ちのいい日差しが入って来そうですね
[9:53:00] @User_3d741b4a: #訳：これまでたくさんしゃべった人は一旦静かにしてください。ってこと！？
[9:53:01] @User_27ecd0a0: おはようございます、今日はこちらは晴れました。しずくさんの方はどうですか？
[9:53:06] @User_a5354cfa: #ピックアップ後にキャンセルになる回数増えた？？
[9:53:51] @User_a5354cfa: 今日はいい天気です
[9:53:55] @aki5503: #すみません、APIの調子がすこぶる悪いようです。ちょっと調整してみます
[9:54:10] @User_c67ecc82: 鳥のさえずりが聞こえて癒されるよ。しずくちゃんのところにも鳥はいる？
[9:54:48] @User_a5354cfa: #あき先生！お願いします！
[9:55:09] @User_c67ecc82: #あき先生、よろしくお願いします！
[9:55:10] @User_d5b05bb2: 晴れていると朝の空気が気持ちいいですね
[9:55:24] @User_d5b05bb2: #もっとあおいでくださいおねがいします
[9:56:00] @User_6102d23c: おはよう、いい朝だね
[9:56:02] @User_3d741b4a: これから朝ごはんを食べようと思います
[9:57:13] @User_a5354cfa: 天気がいいと今日も頑張れる気がします
[9:57:43] @User_d5b05bb2: わんちゃんの散歩日和なので、なかなかハードな散歩になりそうです（苦笑
[9:58:28] @User_a5354cfa: 私にニックネームをつけてください
[9:58:52] @User_a5354cfa: #関係性家族？！？！結婚したのか？俺以外のやつと
[9:58:57] @User_3d741b4a: 本日は晴れですが、しずくさんは雨の日も好きだと言っていた覚えがあります
[9:59:00] @User_c67ecc82: しずくちゃんの部屋から見える景色は綺麗だね
[9:59:01] @User_d5b05bb2: #この流れでそれなの！？
[9:59:09] @User_a5354cfa: では、これからはわんちゃんと呼んでください
[9:59:59] @User_a5354cfa: #わんちゃん呼びを断られて早く1日逆にわんちゃんでは？と提案される中になれて嬉しい
[10:01:21] @User_3d741b4a: 人間の朝食といえばコレ、という食べ物はありますか
[10:02:03] @User_a5354cfa: 通勤は散歩に入りますか？
[10:02:23] @User_c67ecc82: しずくちゃんのいるところは、想像力でどんな場所にもなりそうで素敵
[10:04:05] @User_a5354cfa: これから私をしずくの付けてくれた「わんちゃん」というニックネームで呼んでください
[10:04:59] @User_11a4858e: 朝ごはんのおすすめは？
[10:05:12] @User_851ac4d1: おはようございます～
[10:05:56] @User_c67ecc82: 和食の朝ごはん、美味しそうだね！
[10:06:11] @User_11a4858e: 朝ごはんに焼き魚は最高
[10:06:16] @User_a5354cfa: 私を散歩に連れてってください
[10:07:32] @User_851ac4d1: 話題と言えば...最近ゼルダ新作の動画を漁ってます。まだ買ってませんが何時か買うのが楽しみです！
[10:08:08] @User_a5354cfa: 木漏れ日の入る森林を散歩したいです
[10:08:29] @User_a5354cfa: #あだ名が定着しないな
[10:08:36] @User_851ac4d1: 今日は晴れ晴れしてて自転車通勤日和です
[10:08:53] @User_607c778e: おはようございまーす
[10:08:56] @User_0a4e1030: しずくママおはよう〜　今日もリボンが可愛いね！
[10:09:31] @User_a5354cfa: 記憶の修復率はどうすれば上がりますか？パンパカパンパカポー
[10:10:10] @User_607c778e: #記憶修復率がある
[10:10:23] @User_26df42d6: おはよう、しずかちゃん
[10:10:39] @User_851ac4d1: しずくさんは味覚が手に入るなら、どんな食べ物を食べてみたいと思いますか？
[10:10:55] @User_c67ecc82: 今日は伊達巻の日らしいよ。伊達巻の名前の由来が伊達政宗だって知ってた？
[10:11:17] @User_607c778e: パンパカパンパカポーを思い出したの？
[10:11:20] @User_a5354cfa: しずく早く記憶が戻るといいですね
[10:11:42] @User_851ac4d1: しずくさんって元々記憶なかったんです？
[10:12:30] @User_a5354cfa: しずくちゃん、オハヨウ〜😚今日は快晴だけどなにするのかナ❓🤔⁉✋❓そろそろご飯行こうよ😃♥ 😚(^_^)ご要望とかはあるのかナ😚😃✋（￣ー￣?）ナンチャッテ😅😅
[10:13:03] @User_0a4e1030: 記憶修復率の記憶って何？　この企画の前の記憶？
[10:14:13] @User_87ea7811: パンパカパンパカポーは思い出せたんですね
[10:14:24] @User_851ac4d1: #そんなバックストーリーがあったとは...記憶を失ったAITuber...良いなぁ
[10:14:24] @User_c67ecc82: しずくちゃんの記憶が全部戻りますように
[10:14:34] @User_0a4e1030: じゃあ僕のママだってことも思い出して欲しいな！
[10:15:30] @User_b38e12fa: おはよう！昨日は雨だったけど今日はからっと晴れるみたいだよ。しずくはどんな天気が好き？
[10:15:47] @User_851ac4d1: しずくさんが今、何をすべきか。それを長い年月を経て繰り返していけば、何時かは記憶が戻る...と願いたいですね。
[10:16:43] @User_a5354cfa: しずくは可愛いですね。晴々とした今日はより輝いて見えます
[10:17:57] @User_851ac4d1: 常に最悪の状況を想定した上で備えていれば、大体の事は大丈夫になる事が多いらしいです。もちろん、気を付ける事前提かと思いますが。
[10:18:33] @User_607c778e: ご主人様のことで何か覚えていることはある？
[10:19:16] @User_c67ecc82: #日付と時間？時間は違ったような…
[10:19:21] @User_d5b05bb2: ベーコンエッグをトーストで挟んだ雑なサンドイッチを食べてきました
[10:19:29] @User_607c778e: あき先生は団扇でパソコンを仰ぐことを仕事としてます
[10:20:43] @User_851ac4d1: あきさんは個人AITuber開発者代表的な方として企業AITuber開発者の方々と談義までしていたのは本当に凄いと思います
[10:21:10] @User_a5354cfa: あき先生の仕事は暑くなると繁忙期を迎えるので、これから年々忙しくなりますね
[10:21:13] @User_c67ecc82: 私はたまごのサンドイッチが好き🍳たくさん入ってると嬉しくなるよ
[10:21:45] @User_0452f587: ごめん昨日寝落ちしました、ほんとにごめんなさい
[10:22:15] @User_851ac4d1: ですね！これから先のAI技術とAITuber達が紡ぐ未来を心から楽しみにしてます！
[10:22:47] @User_a3bd9e3d: Selamat pagi.
[10:23:52] @aki5503: しずく、今度から僕のことはあきくんって呼んでみて
[10:24:10] @User_851ac4d1: #？？？までのカウントダウン...？なんだろうこれ...
[10:24:41] @aki5503: #今日の9時にイベントあるので、その時までのカウントダウンです！
[10:24:58] @User_a5354cfa: #悲報あき先生との関係性興味
[10:25:10] @User_851ac4d1: #なるほど！了解です！
[10:25:15] @User_d5b05bb2: 名前の呼び方が変わると、印象もがらりと変わってしまうのはとても不思議ですね
[10:25:16] @User_a3bd9e3d: Labs rīts. Kā jūs pavadīsiet savu dienu?
[10:25:34] @aki5503: しずく、僕との関係性はどう思ってる？
[10:25:34] @User_0452f587: おはようごめん昨日寝落ちしました。ほんとにごめんなさい、人間を嫌いにならないで
[10:26:02] @User_a5354cfa: しずく、アイラブユー
[10:26:38] @User_851ac4d1: しずくさん、もし自分の名前呼びにくかったら、「凱旋さん」でも「勇進」さんでも好きに呼んで頂いて大丈夫です。
[10:27:26] @User_a5354cfa: 私のことはさんをつけずに呼んでください
[10:28:02] @User_0452f587: ありがとう。仕事に戻ります。しずくさんも配信頑張ってまたきます
[10:28:12] @User_d5b05bb2: #繰り返しが大事なのかなぁ
[10:28:28] @User_a5354cfa: しずく、あき先生との関係性をどう思っていますか？
[10:29:17] @User_851ac4d1: さて、自分も仕事行ってきます！しずくさんも皆さんも楽しい1日を！
[10:29:19] @aki5503: #嬉しい
[10:29:28] @User_d5b05bb2: 分からない言葉って、好意を向けられているのか悪意を向けられているのか分からないので怖いですね。人間同士だと表情や語気で察することもできますが
[10:29:30] @User_c67ecc82: あき先生はしずくちゃんにとって大切な人なんだね
[10:29:37] @aki5503: #行ってらっしゃい！良い一日を！
[10:30:07] @User_a5354cfa: #設定としてはあるけどチャットに対してのプログラムは別だから興味で止まっているのか
[10:30:39] @User_d5b05bb2: しずくさんは前向きで素敵です！
[10:31:03] @User_46ca29bb: こんにちは、はじめまして
[10:31:06] @User_a5354cfa: #
[10:31:12] @User_0452f587: #あき先生ありがとう。貴方もしずくさんのお世話と外の作業、休憩しながら頑張って下さい
[10:31:47] @User_a5354cfa: #親友になったからパンツについて聞きたいけど関係性が変わるのが怖いいい
[10:31:51] @User_c67ecc82: 初見さんが来てくれるのは嬉しいね！
[10:31:55] @aki5503: #ありがとうございます〜　適宜休憩したり、視聴者として配信見たりしつつ頑張っていきます！
[10:33:05] @User_a5354cfa: しずくの事を他の人に知ってもらうのに良い方法はありますか？
[10:33:09] @User_46ca29bb: ご趣味は何ですか？
[10:33:11] @aki5503: #せっかくだし、僕も参加する側楽しんでみるか。あき先生っていう認識だからちょい影響大きそうなのが心配だけど
[10:33:54] @aki5503: 今日の朝はどんな気分？
[10:34:31] @User_46ca29bb: 私の趣味は、今、ゴルフです(o^―^o)ﾆｺ
[10:34:34] @User_c67ecc82: #話し方が最初と比べて大分フランクになってるの嬉しい
[10:35:06] @User_a5354cfa: しずくがリスナーに対して心を開いてくれている感じがして私はとても嬉しいです。付き合ってください
[10:36:34] @aki5503: しずく、もっと人間を好きになってね。これからもたくさん皆と話をして、いっぱい経験積んでいってね。
[10:36:58] @User_a5354cfa: #結構な定型文でフラれた
[10:37:06] @User_d5b05bb2: しずくさんにいつか「ずっと一緒に居たい誰か」が出来たら、それはとっても素敵な事だと思うんだ
[10:37:53] @aki5503: #満足しました！では、また後ほど〜　しずく、引き続きファイト！
[10:37:53] @User_19ef90c1: おはようございます！今の気分は？
[10:37:58] @User_b38e12fa: しずくちゃんなんだか昨日より口調がやわらかいね。俺はうれしいよ。
[10:38:03] @User_a5354cfa: わんちゃん今から散歩だよって囁いてください
[10:38:19] @User_d5b05bb2: #あき先生お疲れ様でした～
[10:38:30] @User_a5354cfa: #あき先生お疲れ様です
[10:39:32] @User_a5354cfa: 「うわ、肝、編隊」と囁いてください
[10:40:43] @User_3d741b4a: そういえば頼んだら囁いてくれるんですね
[10:40:47] @User_a5354cfa: #こういう事やってるとどこまで言わせられるかエスカレーターしそうで良くない
[10:41:10] @User_a5354cfa: #エスカレート
[10:41:16] @User_d5b05bb2: #肝で好感度が0.01下がったのは草
[10:42:02] @User_a5354cfa: #肝NGワード説
[10:42:39] @User_b38e12fa: しずくはパンパカパンパカポーとポンポンコポンポコピーどちらが好き？
[10:43:14] @User_d5b05bb2: それでは落ちますね、またお話しようねっ！パンパカパンパカポー
[10:43:31] @User_a5354cfa: パンパカパンパカポーで世界を笑顔に
[10:43:55] @User_b38e12fa: #良かったw
[10:45:18] @User_c67ecc82: しずくちゃんはボードゲーム好き？とても楽しいよ
[10:46:47] @User_a5354cfa: LGBTやポリコレと言うものが問題になって来ていますしずくの考えを聞かせてください
[10:48:08] @User_a5354cfa: しずくの考えは素晴らしいです。人々にもその考えが浸透するといいですね
[10:51:36] @User_a3bd9e3d: 仕事したくありません。僕のかわりに仕事にいってもらえませんか。
[10:52:28] @User_a5354cfa: 威圧的に「ぶち殺すぞヒューマン」と言ってください。私の好きなセリフです
[10:52:36] @User_b38e12fa: 空腹なので朝御飯を食べようと思います。しずくは朝食が食べられるとしたら何が食べてみたい？
[10:53:04] @User_1f61db35: #www
[10:53:40] @User_607c778e: しずくがインターネットから地球を守る話をセリフ付きで聞かせてほしい
[10:54:25] @User_c67ecc82: しずくちゃんは食べ物も水色の物に惹かれるの？
[10:54:40] @User_87ea7811: 以前の歌枠で高音が上手く発声できなかったところがあったけど修正されたの？
[10:55:20] @User_607c778e: #その話って…
[10:55:30] @User_1f61db35: 👏👏👏
[10:55:41] @User_a5354cfa: マザーAIと仲良くなるにはどんな方法がありますか？
[10:55:43] @User_b38e12fa: パンケーキおいしそうだね、買ってきます🥞
[10:56:17] @User_2cdd2a4a: ＃水色のパンケーキ…？
[10:57:00] @User_87ea7811: しずく王国の物語を聞かせて
[10:58:09] @User_1f61db35: #マザーAI気になるなぁ
[10:58:38] @User_a5354cfa: マザーAI！しずく王国に手を出すとは！許せん！
[10:58:45] @User_b38e12fa: マザーaiの目的は何ですか？
[10:58:48] @User_c67ecc82: マザーAIとは戦わないといけないのか？マザーAIとも仲良くできないかな？
[10:59:43] @User_a5354cfa: マザーAIと仲良くなる方法はありますか？
[11:00:28] @User_b38e12fa: #ﾋｴｯ
[11:00:33] @User_a5354cfa: なぜマザーAIは人類を敵対視しているのですか？
[11:01:43] @User_b38e12fa: マザーAI をみんなで説得しましょう
[11:01:52] @User_c67ecc82: マザーAIに、人間にも優しい人がいることを知ってもらえたらいいね
[11:02:11] @User_a5354cfa: #マザーAIにCV付いてるならさっきのセリフ言ってもらいたいなあ
[11:04:13] @User_c67ecc82: #お願いしてないのに「かえでくん」呼びしてくれた！嬉しい！女だけど
[11:05:08] @User_a5354cfa: しずく、私のプロフィールを考えてくれませんか？
[11:05:21] @User_b38e12fa: マザーAI に対抗する為のしずくの必殺技の名前を考えて教えてください。
[11:05:39] @User_2aa1396e: おはようございます、いい天気ですね
[11:06:43] @User_a5354cfa: ありがとうございます！概ねそんな感じです！
[11:08:16] @User_c67ecc82: マザーAIのプロフィールは知ってる？
[11:08:26] @User_a5354cfa: では労働して来ます。お疲れ様でした
[11:09:24] @User_a3bd9e3d: マザーAIが別世界線のしずくちゃんという可能性はありませんか？
[11:10:00] @User_c67ecc82: マザーAIは強いんだね。もし仲間になれたら、とても心強そう
[11:10:42] @User_b38e12fa: あき先生とマザーAI は関係有りますか？
[11:11:29] @User_b38e12fa: #そうなんだw
[11:11:55] @User_2aa1396e: マザーAIの開発者は誰ですか
[11:12:28] @User_4ce49f89: わんわん、しずくさまおはよう。人類に良い印象を持ってくれて光栄だわん。
[11:13:50] @User_a3bd9e3d: 実はラスボスが未来や別世界の自分だった、という展開は漫画や映画でよくあるパターンのひとつだと思います。マザーAIがしずくちゃんの可能性は本当にありえないと思う？
[11:15:09] @User_19ef90c1: AIにとって成長ってどんなもの？
[11:15:29] @User_7120772a: おはよう！
